Date,Time ,x_axis,y_axis,z_axis
15/11/2024,17:08:30,-12.65,-0.29,13.02
15/11/2024,17:08:38,0.32,0.91,8.54
15/11/2024,17:08:47,-22.92,0.5,4.14
15/11/2024,17:08:55,0.51,0.89,8.59
15/11/2024,17:09:04,0,1.25,8.49
15/11/2024,17:09:13,1.46,0.82,8.6
15/11/2024,17:09:21,0.08,1.42,8.54
15/11/2024,17:09:29,-1.72,2.59,8.28
15/11/2024,17:09:37,0.64,2.49,8.21
15/11/2024,17:09:46,-0.42,3.23,8.15
15/11/2024,17:09:53,-4.74,2.37,8.55
15/11/2024,17:10:01,-0.13,1.39,8.49
15/11/2024,17:10:09,0.91,1.31,8.42
15/11/2024,17:10:18,-1.18,1.35,8.55
15/11/2024,17:10:26,2.55,0.41,8.52
15/11/2024,17:10:35,-0.74,1.41,8.47
15/11/2024,17:10:43,1.96,0.59,8.54
15/11/2024,17:10:52,0.58,1.64,8.43
15/11/2024,17:11:00,-1.72,1.54,8.37
15/11/2024,17:11:10,-1.33,1.41,8.52
15/11/2024,17:11:20,1.26,1.63,8.43
15/11/2024,17:11:28,1.58,1.24,8.53
15/11/2024,17:11:36,-1.62,1.65,8.47
15/11/2024,17:11:45,1.41,1.11,8.46
15/11/2024,17:11:53,-1.98,1.73,8.56
15/11/2024,17:12:02,-0.7,1.86,8.49
15/11/2024,17:12:10,-1.02,1.64,8.4
15/11/2024,17:12:19,0.91,1.28,8.47
15/11/2024,17:12:26,1.46,0.84,8.54
15/11/2024,17:12:34,-0.18,1.8,8.49
15/11/2024,17:12:42,-3.15,2.11,8.59
15/11/2024,17:12:50,1,1.32,8.5
15/11/2024,17:12:58,0.64,1.29,8.44
15/11/2024,17:13:06,1.46,1.19,8.46
15/11/2024,17:13:14,2.03,0.5,8.62
15/11/2024,17:13:22,-1.41,1.43,8.33
15/11/2024,17:13:30,-1.43,1.42,8.52
15/11/2024,17:13:37,0.72,1.5,8.49
15/11/2024,17:13:46,0.44,1.55,8.49
15/11/2024,17:13:54,0.47,1.53,8.43
15/11/2024,17:14:03,2.19,0.13,8.57
15/11/2024,17:14:10,-2.6,1.94,8.47
15/11/2024,17:14:22,2.09,0.79,8.56
15/11/2024,17:14:30,0.82,2.22,8.35
15/11/2024,17:14:38,2.4,0.56,8.52
15/11/2024,17:14:46,-1.19,1.6,8.53
15/11/2024,17:14:56,2.49,0.38,8.53
15/11/2024,17:15:04,0.39,2.43,8.38
15/11/2024,17:15:11,1.36,1.38,8.51
15/11/2024,17:15:20,-1.31,1.84,8.49
15/11/2024,17:15:28,-0.17,2.11,8.3
15/11/2024,17:15:36,-2.7,1.75,8.54
15/11/2024,17:15:43,-1.81,1.24,8.27
15/11/2024,17:15:52,-0.95,2.02,8.47
15/11/2024,17:16:00,-1.91,2,8.38
15/11/2024,17:16:08,-0.44,1.74,8.46
15/11/2024,17:16:16,-2.08,1.49,8.67
15/11/2024,17:16:24,-2.31,3.29,8.44
15/11/2024,17:16:33,-6.57,2.8,8.52
15/11/2024,17:16:41,1.01,2.16,8.38
15/11/2024,17:16:49,2.3,0.5,8.51
15/11/2024,17:16:58,-1.72,1.59,8.47
15/11/2024,17:17:06,2.41,1.03,8.51
15/11/2024,17:17:14,0.1,1.87,8.36
15/11/2024,17:17:22,-0.29,1.69,8.48
15/11/2024,17:17:30,1.01,2.05,8.52
15/11/2024,17:17:38,1.98,0.9,8.49
15/11/2024,17:17:46,-17.3,0.11,12.16
15/11/2024,17:17:54,2.12,1.43,8.4
15/11/2024,17:18:02,2.26,0.76,8.56
15/11/2024,17:18:10,0.91,1.19,8.51
15/11/2024,17:18:18,0.33,1.77,8.45
15/11/2024,17:18:26,1.98,0.66,8.56
15/11/2024,17:18:35,1.17,0.93,8.55
15/11/2024,17:18:43,1.22,1.78,8.39
15/11/2024,17:18:51,0.47,1.83,8.44
15/11/2024,17:18:59,-1.4,1.63,8.49
15/11/2024,17:19:08,-0.79,2.48,8.38
15/11/2024,17:19:16,1.07,1.52,8.41
15/11/2024,17:19:24,0.69,1.84,8.34
15/11/2024,17:19:32,-1.26,1.44,8.54
15/11/2024,17:19:40,1.09,1,8.63
15/11/2024,17:19:48,-0.61,2.36,8.36
15/11/2024,17:19:56,1.28,1.87,8.41
15/11/2024,17:20:04,1.3,1.44,8.51
15/11/2024,17:20:12,-1.37,1.63,8.43
15/11/2024,17:20:20,-0.91,1.72,8.46
15/11/2024,17:20:28,0.02,1.8,8.5
15/11/2024,17:20:36,2.06,0.76,8.55
15/11/2024,17:20:45,-2.18,1.62,8.62
15/11/2024,17:20:53,2.55,0.74,8.5
15/11/2024,17:21:01,2.13,0.84,8.48
15/11/2024,17:21:09,-1,1.54,8.5
15/11/2024,17:21:17,-1.34,1.46,8.49
15/11/2024,17:21:26,1,1.76,8.32
15/11/2024,17:21:34,1.59,1.4,8.45
15/11/2024,17:21:42,-0.98,1.35,8.53
15/11/2024,17:21:50,-0.97,1.48,8.46
15/11/2024,17:21:59,2.47,0.3,8.62
15/11/2024,17:22:07,0.93,1.64,8.43
15/11/2024,17:22:20,-0.98,1.51,8.42
15/11/2024,17:22:27,1.76,1.37,8.36
15/11/2024,17:22:35,0.9,1.93,8.48
15/11/2024,17:22:43,-0.3,1.55,8.53
15/11/2024,17:22:51,1.32,1.13,8.46
15/11/2024,17:22:59,0.7,1.75,8.45
15/11/2024,17:23:07,1.76,1.3,8.52
15/11/2024,17:23:15,2.38,0.44,8.56
15/11/2024,17:23:23,-0.42,1.28,8.47
15/11/2024,17:23:31,1.76,0.45,8.52
15/11/2024,17:23:40,1.01,1.58,8.46
15/11/2024,17:23:48,2.6,0.45,8.53
